ticker,date,open,high,low,close,vol
BSR,2018-03-01,17.24,17.24,16.19,17.24,14162900.0
BSR,2018-03-02,18.23,18.61,17.08,17.24,7695417.0
BSR,2018-03-05,18.17,18.17,17.02,17.08,4083263.0
BSR,2018-03-06,17.08,17.35,16.51,17.02,3132026.0
BSR,2018-03-07,16.91,17.35,16.3,16.47,2770016.0
BSR,2018-03-08,16.68,16.68,15.42,15.7,2383360.0
BSR,2018-03-09,15.64,16.64,15.64,15.98,3008463.0
BSR,2018-03-12,16.25,16.35,15.42,15.75,1896730.0
BSR,2018-03-13,15.91,15.91,15.31,15.42,1469970.0
BSR,2018-03-14,15.42,15.42,14.32,14.59,5329546.0
BSR,2018-03-15,14.71,15.37,14.27,14.87,2586788.0
BSR,2018-03-16,14.93,15.15,14.76,14.87,1213193.0
BSR,2018-03-19,14.93,14.93,14.27,14.32,2111480.0
BSR,2018-03-20,14.32,15.26,14.04,15.03,3150487.0
BSR,2018-03-21,15.15,15.26,14.99,15.09,1270380.0
BSR,2018-03-22,15.15,15.2,14.71,14.81,1199547.0
BSR,2018-03-23,14.64,14.64,14.15,14.48,1506200.0
BSR,2018-03-26,14.43,14.81,14.27,14.32,916293.0
BSR,2018-03-27,14.32,14.81,14.27,14.37,1025820.0
BSR,2018-03-28,14.32,14.37,14.04,14.15,1111610.0
BSR,2018-03-29,14.21,14.37,14.04,14.15,729200.0
BSR,2018-03-30,14.15,14.64,14.11,14.64,1105900.0
BSR,2018-04-02,14.64,14.99,14.27,14.48,1817500.0
BSR,2018-04-03,14.32,14.59,13.88,13.99,2181700.0
BSR,2018-04-04,14.04,14.04,13.5,13.77,2113400.0
BSR,2018-04-05,13.77,13.77,13.27,13.39,1953500.0
BSR,2018-04-06,13.44,13.77,13.0,13.16,2341300.0
BSR,2018-04-09,13.22,13.22,12.72,13.22,1716000.0
BSR,2018-04-10,13.39,13.39,12.89,12.94,1104600.0
BSR,2018-04-11,13.16,13.22,12.72,12.94,1115800.0
BSR,2018-04-12,12.94,12.94,12.56,12.72,1284900.0
BSR,2018-04-13,12.67,12.94,12.39,12.62,1111400.0
BSR,2018-04-16,12.62,12.89,12.28,12.67,1530400.0
BSR,2018-04-17,12.56,12.83,12.56,12.72,855400.0
BSR,2018-04-18,12.72,12.72,12.34,12.39,582600.0
BSR,2018-04-19,12.28,12.56,11.68,11.73,1120500.0
BSR,2018-04-20,11.85,12.01,11.62,11.9,819800.0
BSR,2018-04-23,12.01,12.45,11.85,12.01,817300.0
BSR,2018-04-24,12.06,12.28,11.68,11.73,848300.0
BSR,2018-04-26,11.73,11.85,10.69,10.96,1134200.0
BSR,2018-04-27,11.07,11.18,10.63,11.07,1036500.0
BSR,2018-05-02,10.9,11.02,10.02,10.08,1161400.0
BSR,2018-05-03,10.02,10.14,9.81,10.14,1671100.0
BSR,2018-05-04,9.97,10.46,9.97,10.25,1330800.0
BSR,2018-05-07,10.25,11.85,10.25,11.57,2085900.0
BSR,2018-05-08,11.68,11.85,11.13,11.18,750000.0
BSR,2018-05-09,11.23,11.29,10.9,11.13,761000.0
BSR,2018-05-10,11.13,11.29,10.58,10.63,977300.0
BSR,2018-05-11,9.75,11.4,9.64,11.34,2699000.0
BSR,2018-05-14,10.85,12.17,10.85,11.4,1120800.0
BSR,2018-05-15,11.4,12.5,11.34,12.01,2040300.0
BSR,2018-05-16,11.85,12.5,11.85,11.95,1927600.0
BSR,2018-05-17,12.06,12.5,12.01,12.12,1085300.0
BSR,2018-05-18,12.22,12.22,11.68,11.9,1037200.0
BSR,2018-05-21,11.9,12.01,11.29,11.29,968100.0
BSR,2018-05-22,11.46,11.46,10.46,10.85,1339500.0
BSR,2018-05-23,10.74,11.13,10.63,11.07,851500.0
BSR,2018-05-24,10.96,11.13,10.74,11.02,770600.0
BSR,2018-05-25,10.9,10.9,10.35,10.46,1053500.0
BSR,2018-05-28,10.46,10.46,9.36,9.69,1421700.0
BSR,2018-05-29,9.69,10.46,9.64,10.19,1329300.0
BSR,2018-05-30,10.02,10.08,9.75,9.91,577700.0
BSR,2018-05-31,9.97,10.25,9.97,10.14,992100.0
BSR,2018-06-01,10.08,10.19,9.97,10.14,588500.0
BSR,2018-06-04,10.19,10.63,10.02,10.58,1016600.0
BSR,2018-06-05,10.35,10.96,10.35,10.9,1220000.0
BSR,2018-06-06,10.9,11.13,10.74,10.9,865700.0
BSR,2018-06-07,10.85,10.85,10.41,10.46,736400.0
BSR,2018-06-08,10.58,10.58,10.19,10.46,744700.0
BSR,2018-06-11,10.46,10.69,10.3,10.35,788100.0
BSR,2018-06-12,10.41,10.46,9.91,10.02,1408200.0
BSR,2018-06-13,10.02,10.3,10.02,10.19,513800.0
BSR,2018-06-14,10.3,10.58,10.25,10.41,1165500.0
BSR,2018-06-15,10.41,10.46,10.14,10.35,790800.0
BSR,2018-06-18,10.25,10.3,9.91,10.02,1521400.0
BSR,2018-06-19,9.97,9.97,9.36,9.91,2428100.0
BSR,2018-06-20,9.81,9.85,9.58,9.85,705000.0
BSR,2018-06-21,9.91,9.91,9.58,9.75,931300.0
BSR,2018-06-22,9.69,9.97,9.64,9.97,1205800.0
BSR,2018-06-25,10.02,10.19,9.91,10.02,1054300.0
BSR,2018-06-26,10.02,10.02,9.81,9.97,1012200.0
BSR,2018-06-27,9.91,10.02,9.75,9.91,1427800.0
BSR,2018-06-28,9.85,9.91,9.64,9.81,1311800.0
BSR,2018-06-29,9.85,9.91,9.58,9.91,1473500.0
BSR,2018-07-02,9.69,9.81,9.58,9.69,1115200.0
BSR,2018-07-03,9.64,9.69,9.31,9.31,2005600.0
BSR,2018-07-04,9.2,9.41,9.09,9.09,2192000.0
BSR,2018-07-05,9.14,9.2,8.59,8.87,1976800.0
BSR,2018-07-06,8.81,9.03,8.65,8.97,846600.0
BSR,2018-07-09,9.03,9.14,8.76,8.76,1282800.0
BSR,2018-07-10,8.7,8.87,8.32,8.32,2213600.0
BSR,2018-07-11,8.32,8.32,7.71,7.88,2215900.0
BSR,2018-07-12,7.88,7.88,7.54,7.77,746100.0
BSR,2018-07-13,7.88,8.09,7.77,7.93,767300.0
BSR,2018-07-16,8.04,8.27,7.88,8.04,828200.0
BSR,2018-07-17,8.04,8.09,7.83,7.98,446300.0
BSR,2018-07-18,7.93,8.37,7.88,8.27,1415500.0
BSR,2018-07-19,8.37,9.2,8.27,8.7,2465000.0
BSR,2018-07-20,8.81,8.92,8.59,8.7,835600.0
BSR,2018-07-23,8.59,8.65,8.37,8.53,935800.0
BSR,2018-07-24,8.43,8.48,7.98,8.15,1159500.0
