ticker,type,price,date,percent,atr_pct
BSR,1,17.24,2018-03-01,30,4.2063
BSR,2,7.54,2018-07-12,30,4.2063
BSR,1,11.78,2018-09-26,30,4.2063
BSR,2,2.54,2020-04-01,30,4.2063
BSR,1,4.46,2020-06-08,30,4.2063
BSR,2,3.08,2020-07-29,30,4.2063
BSR,1,7.16,2021-01-13,30,4.2063
BSR,2,4.3,2021-01-29,30,4.2063
BSR,1,17.08,2022-03-07,30,4.2063
BSR,2,9.99,2022-05-10,30,4.2063
BSR,1,19.13,2022-06-16,30,4.2063
BSR,2,5.72,2022-11-16,30,4.2063
BSR,1,15.21,2024-09-26,30,4.2063
BSR,2,9.01,2025-04-09,30,4.2063
BSR,1,19.47,2025-08-21,30,4.2063
BSR,2,13.5,2025-12-15,30,4.2063
BSR,1,39.6,2026-03-09,30,4.2063
BSR,2,23.15,2026-04-29,30,4.2063
BSR,1,33.95,2026-05-18,30,4.2063
APS,1,15.34,2010-05-21,40,5.3188
APS,2,8.48,2010-11-18,40,5.3188
APS,1,13.54,2010-12-14,40,5.3188
APS,2,3.88,2011-05-26,40,5.3188
APS,1,5.69,2011-06-14,40,5.3188
APS,2,3.07,2011-08-12,40,5.3188
APS,1,5.78,2011-09-14,40,5.3188
APS,2,1.63,2012-02-16,40,5.3188
APS,1,5.23,2012-03-29,40,5.3188
APS,2,2.8,2012-07-11,40,5.3188
APS,1,4.25,2012-08-09,40,5.3188
APS,2,2.53,2012-12-03,40,5.3188
APS,1,4.06,2013-02-20,40,5.3188
APS,2,2.43,2013-09-19,40,5.3188
APS,1,7.85,2014-03-31,40,5.3188
APS,2,3.52,2014-05-14,40,5.3188
APS,1,6.32,2014-10-03,40,5.3188
APS,2,2.98,2015-05-19,40,5.3188
APS,1,4.33,2015-06-15,40,5.3188
APS,2,1.9,2017-01-20,40,5.3188
APS,1,5.05,2017-08-08,40,5.3188
APS,2,2.35,2018-02-06,40,5.3188
APS,1,3.97,2018-05-16,40,5.3188
APS,2,1.53,2020-01-16,40,5.3188
APS,1,2.98,2020-02-26,40,5.3188
APS,2,1.63,2020-03-30,40,5.3188
APS,1,61.06,2021-11-19,40,5.3188
APS,2,28.2,2021-12-24,40,5.3188
APS,1,39.74,2022-01-04,40,5.3188
APS,2,22.87,2022-01-19,40,5.3188
APS,1,34.89,2022-03-04,40,5.3188
APS,2,12.6,2022-04-26,40,5.3188
APS,1,22.1,2022-05-18,40,5.3188
APS,2,10.37,2022-06-21,40,5.3188
APS,1,19.0,2022-08-24,40,5.3188
APS,2,3.68,2022-11-16,40,5.3188
APS,1,12.99,2022-12-06,40,5.3188
APS,2,7.17,2022-12-27,40,5.3188
